0 ns: U U UUU UUU UU
10 ns: U U UUU UUU UU
20 ns: U U UUU UUU UU
30 ns: U U UUU UUU UU
40 ns: U U UUU UUU UU
50 ns: U U 000 111 00
60 ns: U U 000 111 00
70 ns: 1 0 000 111 00
80 ns: 1 0 000 111 00
90 ns: 1 0 000 111 00
100 ns: 1 0 000 111 00
110 ns: 1 0 000 111 00
120 ns: 1 0 000 111 00
130 ns: 1 0 000 111 00
140 ns: 1 0 000 111 00
150 ns: 1 0 000 111 00
160 ns: 1 0 000 111 00
170 ns: 1 0 000 111 00
180 ns: 1 0 000 111 00
190 ns: 1 0 000 111 00
200 ns: 1 0 000 111 00
210 ns: 1 0 000 111 00
220 ns: 1 0 000 111 00
230 ns: 1 0 000 111 00
240 ns: 1 0 000 111 00
250 ns: 1 0 000 111 00
260 ns: 1 0 000 111 00
270 ns: 1 0 000 111 00
280 ns: 1 0 000 111 00
290 ns: 1 0 000 111 00
300 ns: 1 0 000 111 00
310 ns: 1 0 000 111 00
320 ns: 1 0 000 111 00
330 ns: 1 0 000 111 00
340 ns: 1 0 000 111 00
350 ns: 1 0 000 111 00
360 ns: 1 0 000 111 00
370 ns: 1 0 000 111 00
380 ns: 1 0 000 111 00
390 ns: 1 0 000 111 00
400 ns: 1 0 000 111 00
410 ns: 1 0 000 111 00
420 ns: 1 0 000 111 00
430 ns: 1 0 000 111 00
440 ns: 1 0 000 111 00
450 ns: 1 0 000 111 00
460 ns: 1 0 000 111 00
470 ns: 1 0 000 111 00
480 ns: 1 0 000 111 00
490 ns: 1 0 000 111 00
500 ns: 1 0 000 111 00
510 ns: 1 0 000 111 00
520 ns: 1 0 000 111 00
530 ns: 1 0 000 111 00
540 ns: 1 0 000 111 00
550 ns: 1 0 000 111 00
560 ns: 1 0 000 111 00
570 ns: 1 0 000 111 00
580 ns: 1 0 000 111 00
590 ns: 1 0 000 111 00
600 ns: 1 0 000 111 00
610 ns: 1 0 000 111 00
620 ns: 1 0 000 111 00
630 ns: 1 0 000 111 00
640 ns: 1 0 000 111 00
650 ns: 1 0 000 111 00
660 ns: 1 0 000 111 00
670 ns: 1 0 000 111 00
680 ns: 1 0 000 111 00
690 ns: 1 0 000 111 00
700 ns: 1 0 000 111 00
710 ns: 1 0 000 111 00
720 ns: 1 0 000 111 00
730 ns: 1 0 000 111 00
740 ns: 1 0 000 111 00
750 ns: 1 0 000 111 00
760 ns: 1 0 000 111 00
770 ns: 1 0 000 111 00
780 ns: 1 0 000 111 00
790 ns: 1 0 000 111 00
800 ns: 1 0 000 111 00
810 ns: 1 0 000 111 00
820 ns: 1 0 000 111 00
830 ns: 1 0 000 111 00
840 ns: 1 0 000 111 00
850 ns: 1 0 000 111 00
860 ns: 1 0 000 111 00
870 ns: 1 0 000 111 00
880 ns: 1 0 000 111 00
890 ns: 1 0 000 111 00
900 ns: 1 0 000 111 00
910 ns: 1 0 000 111 00
920 ns: 1 0 000 111 00
930 ns: 1 0 000 111 00
940 ns: 1 0 000 111 00
950 ns: 1 0 000 111 00
960 ns: 1 0 000 111 00
970 ns: 1 0 000 111 00
980 ns: 1 0 000 111 00
990 ns: 1 0 000 111 00
1000 ns: 1 0 000 111 00
